SR.No,City,State,2012 estimate,2010 Census,2010 land area,2010 population density,Location
57,Santa Ana,California,"3,30,920","3,24,528",27.270 sq mi,"11,901 per sq mi",33.7365N 117.8826W
,,,,,70.628 km2,"4,595 km-2",
58,St. Louis,Missouri,"3,18,172","3,19,294",61.909 sq mi,"5,157 per sq mi",38.6357N 90.2446W
,,,,,160.343 km2,"1,991 km-2",
59,Riverside,California,"3,13,673","3,03,871",81.140 sq mi,"3,745 per sq mi",33.9381N 117.3932W
,,,,,210.152 km2,"1,446 km-2",
60,Corpus Christi,Texas,"3,12,195","3,05,215",160.612 sq mi,"1,900 per sq mi",27.7543N 97.1734W
,,,,,415.982 km2,734 km-2,
61,Pittsburgh,Pennsylvania,"3,06,211","3,05,704",55.367 sq mi,"5,521 per sq mi",40.4398N 79.9766W
,,,,,143.400 km2,"2,132 km-2",
62,Lexington,Kentucky,"3,10,573","2,95,803",283.649 sq mi,"1,043 per sq mi",38.0402N 84.4584W
,,,,,734.649 km2,403 km-2,
63,Anchorage,Alaska,"2,98,610","2,91,826","1,704.683 sq mi",171 per sq mi,61.1775N 149.2744W
,,,,,"4,415.109 km2",66 km-2,
64,Stockton,California,"2,97,984","2,91,707",61.670 sq mi,"4,730 per sq mi",37.9763N 121.3133W
,,,,,159.723 km2,"1,826 km-2",
65,Cincinnati,Ohio,"2,96,550","2,96,943",77.942 sq mi,"3,810 per sq mi",39.1399N 84.5064W
,,,,,201.870 km2,"1,471 km-2",
66,Saint Paul,Minnesota,"2,90,770","2,85,068",51.979 sq mi,"5,484 per sq mi",44.9489N 93.1039W
,,,,,134.624 km2,"2,118 km-2",
67,Toledo,Ohio,"2,84,012","2,87,208",80.692 sq mi,"3,559 per sq mi",41.6641N 83.5819W
,,,,,208.991 km2,"1,374 km-2",
68,Newark,New Jersey,"2,77,727","2,77,140",24.187 sq mi,"11,458 per sq mi",40.7242N 74.1726W
,,,,,62.644 km2,"4,424 km-2",
69,Greensboro,North Carolina,"2,77,080","2,69,666",126.515 sq mi,"2,131 per sq mi",36.0965N 79.8271W
,,,,,327.673 km2,823 km-2,
70,Plano,Texas,"2,72,068","2,59,841",71.581 sq mi,"3,630 per sq mi",33.0508N 96.7479W
,,,,,185.395 km2,"1,402 km-2",
71,Henderson,Nevada,"2,65,679","2,57,729",107.732 sq mi,"2,392 per sq mi",36.0122N 115.0375W
,,,,,279.024 km2,924 km-2,
72,Lincoln,Nebraska,"2,65,404","2,58,379",89.114 sq mi,"2,899 per sq mi",40.8090N 96.6804W
,,,,,230.804 km2,"1,119 km-2",
73,Buffalo,New York,"2,59,384","2,61,310",40.384 sq mi,"6,471 per sq mi",42.8925N 78.8597W
,,,,,104.594 km2,"2,498 km-2",
74,Fort Wayne,Indiana,"2,54,555","2,53,691",110.618 sq mi,"2,293 per sq mi",41.0882N 85.1439W
,,,,,286.500 km2,885 km-2,
75,Jersey City,New Jersey,"2,54,441","2,47,597",14.794 sq mi,"16,737 per sq mi",40.7114N 74.0648W
,,,,,38.316 km2,"6,462 km-2",
76,Chula Vista,California,"2,52,422","2,43,916",49.631 sq mi,"4,915 per sq mi",32.6277N 117.0152W
,,,,,128.545 km2,"1,898 km-2",
77,Orlando,Florida,"2,49,562","2,38,300",102.395 sq mi,"2,327 per sq mi",28.4159N 81.2988W
,,,,,265.203 km2,899 km-2,
78,St. Petersburg,Florida,"2,46,541","2,44,769",61.742 sq mi,"3,964 per sq mi",27.7620N 82.6441W
,,,,,159.910 km2,"1,531 km-2",
79,Norfolk,Virginia,"2,45,782","2,42,803",54.120 sq mi,"4,486 per sq mi",36.9230N 76.2446W
,,,,,140.171 km2,"1,732 km-2",
80,Chandler,Arizona,"2,45,628","2,36,123",64.413 sq mi,"3,666 per sq mi",33.2829N 111.8549W
,,,,,166.828 km2,"1,415 km-2",
81,Laredo,Texas,"2,44,731","2,36,091",88.908 sq mi,"2,655 per sq mi",27.5477N 99.4869W
,,,,,230.271 km2,"1,025 km-2",
82,Madison,Wisconsin,"2,40,323","2,33,209",76.789 sq mi,"3,037 per sq mi",43.0878N 89.4301W
,,,,,198.882 km2,"1,173 km-2",
83,Durham,North Carolina,"2,39,358","2,28,330",107.370 sq mi,"2,127 per sq mi",35.9810N 78.9056W
,,,,,278.088 km2,821 km-2,
84,Lubbock,Texas,"2,36,065","2,29,573",122.410 sq mi,"1,875 per sq mi",33.5665N 101.8867W
,,,,,317.041 km2,724 km-2,
85,Winston-Salem,North Carolina,"2,34,349","2,29,617",132.449 sq mi,"1,734 per sq mi",36.1033N 80.2606W
,,,,,343.041 km2,669 km-2,
86,Garland,Texas,"2,33,564","2,26,876",57.085 sq mi,"3,974 per sq mi",32.9098N 96.6304W
,,,,,147.849 km2,"1,535 km-2",
87,Glendale,Arizona,"2,32,143","2,26,721",59.976 sq mi,"3,780 per sq mi",33.5331N 112.1899W
,,,,,155.337 km2,"1,460 km-2",
88,Hialeah,Florida,"2,31,941","2,24,669",21.450 sq mi,"10,474 per sq mi",25.8699N 80.3029W
,,,,,55.555 km2,"4,044 km-2",
89,Reno,Nevada,"2,31,027","2,25,221",103.009 sq mi,"2,186 per sq mi",39.4745N 119.7765W
,,,,,266.793 km2,844 km-2,
90,Baton Rouge,Louisiana,"2,30,058","2,29,493",76.947 sq mi,"2,982 per sq mi",30.4485N 91.1259W
,,,,,199.292 km2,"1,152 km-2",
91,Irvine,California,"2,29,985","2,12,375",66.106 sq mi,"3,213 per sq mi",33.6784N 117.7713W
,,,,,171.214 km2,"1,240 km-2",
92,Chesapeake,Virginia,"2,28,417","2,22,209",340.800 sq mi,652 per sq mi,36.6794N 76.3018W
,,,,,882.669 km2,252 km-2,
93,Irving,Texas,"2,25,427","2,16,290",67.017 sq mi,"3,227 per sq mi",32.8577N 96.9700W
,,,,,173.574 km2,"1,246 km-2",
94,Scottsdale,Arizona,"2,23,514","2,17,385",183.920 sq mi,"1,182 per sq mi",33.6687N 111.8237W
,,,,,476.350 km2,456 km-2,
95,North Las Vegas,Nevada,"2,23,491","2,16,961",101.345 sq mi,"2,141 per sq mi",36.2830N 115.0893W
,,,,,262.483 km2,827 km-2,
96,Fremont,California,"2,21,986","2,14,089",77.459 sq mi,"2,764 per sq mi",37.4944N 121.9411W
,,,,,200.618 km2,"1,067 km-2",
97,Gilbert,Arizona,"2,21,140","2,08,453",67.963 sq mi,"3,067 per sq mi",33.3102N 111.7422W
,,,,,176.023 km2,"1,184 km-2",
98,San Bernardino,California,"2,13,295","2,09,924",59.201 sq mi,"3,546 per sq mi",34.1393N 117.2953W
,,,,,153.330 km2,"1,369 km-2",
99,Boise,Idaho,"2,12,303","2,05,671",79.364 sq mi,"2,592 per sq mi",43.5985N 116.2311W
,,,,,205.551 km2,"1,001 km-2",
100,Birmingham,Alabama,"2,12,038","2,12,237",146.067 sq mi,"1,453 per sq mi",33.5274N 86.7990W
,,,,,378.311 km2,561 km-2,
101,Rochester,New York,"2,10,532","2,10,565",35.781 sq mi,"5,885 per sq mi",43.1699N 77.6169W
,,,,,92.672 km2,"2,272 km-2",
102,Richmond,Virginia,"2,10,309","2,04,214",59.805 sq mi,"3,415 per sq mi",37.5314N 77.4760W
,,,,,154.895 km2,"1,318 km-2",
103,Spokane,Washington,"2,09,525","2,08,916",59.247 sq mi,"3,526 per sq mi",47.6736N 117.4166W
,,,,,153.448 km2,"1,361 km-2",
104,Des Moines,Iowa,"2,06,688","2,03,433",80.869 sq mi,"2,516 per sq mi",41.5739N 93.6167W
,,,,,209.451 km2,971 km-2,
105,Montgomery,Alabama,"2,05,293","2,05,764",159.565 sq mi,"1,290 per sq mi",32.3463N 86.2686W
,,,,,413.272 km2,498 km-2,
106,Modesto,California,"2,03,547","2,01,165",36.867 sq mi,"5,456 per sq mi",37.6609N 120.9891W
,,,,,95.486 km2,"2,107 km-2",
107,Fayetteville,North Carolina,"2,02,103","2,00,564",145.845 sq mi,"1,375 per sq mi",35.0851N 78.9803W
,,,,,377.736 km2,531 km-2,
108,Tacoma,Washington,"2,02,010","1,98,397",49.721 sq mi,"3,990 per sq mi",47.2522N 122.4598W
,,,,,128.777 km2,"1,541 km-2",
109,Shreveport,Louisiana,"2,01,867","1,99,311",105.375 sq mi,"1,891 per sq mi",32.4670N 93.7927W
,,,,,272.920 km2,730 km-2,
110,Fontana,California,"2,01,812","1,96,069",42.432 sq mi,"4,621 per sq mi",34.1088N 117.4627W
,,,,,109.899 km2,"1,784 km-2",
111,Oxnard,California,"2,01,555","1,97,899",26.894 sq mi,"7,358 per sq mi",34.2023N 119.2046W
,,,,,69.656 km2,"2,841 km-2",
112,Aurora,Illinois,"1,99,932","1,97,899",44.936 sq mi,"4,404 per sq mi",41.7635N 88.2901W
,,,,,116.384 km2,"1,700 km-2",
113,Moreno Valley,California,"1,99,552","1,93,365",51.275 sq mi,"3,771 per sq mi",33.9233N 117.2057W
,,,,,132.800 km2,"1,456 km-2",
114,Akron,Ohio,"1,98,549","1,99,110",62.033 sq mi,"3,210 per sq mi",41.0805N 81.5214W
,,,,,160.664 km2,"1,239 km-2",
